SUBJECT,YEAR_ID,MONTH_ID,REGION_ZONE_NAME,PROVINCE_FULLNAME,ENTREPRENEUR,ENTRE_SECTIONID,OIL_NAME_ENG,OIL_NAME_THAI,QTY,UNIT,DATAOWNER
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,11,ภาคใต้,กระบี่,บางจาก ศรีราชา,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,2438.7,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,ปตท. บริหารธุรกิจค้าปลีก,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,ปตท.,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,46.99,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,ไทยออยล์,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,ไออาร์พีซี,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,พีทีจี เอ็นเนอยี,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,ปตท. น้ำมันและการค้าปลีก,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,4031.82,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,ไซโนเปค ซัสโก้,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,ซัสโก้,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,396,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,12,ภาคใต้,กระบี่,พีทีที โกลบอล เคมิคอล,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
