สำนักงานคุมประพฤติ,เดือน ต.ค.2564,เดือน พ.ย.2564,เดือน ธ.ค.2564,เดือน ม.ค.2565,เดือน ก.พ.2565,เดือน มี.ค.2565,เดือน เม.ย.2565,เดือน พ.ค.2565,เดือน มิ.ย.2565,เดือน ก.ค.2565,เดือน ส.ค.2565,เดือน ก.ย.2565,year_be,เดือน ต.ค.2565,เดือน พ.ย.2565,เดือน ธ.ค.2565,เดือน ม.ค.2566,เดือน ก.พ.2566,เดือน มี.ค.2566,เดือน เม.ย.2566,เดือน พ.ค.2566,เดือน มิ.ย.2566,เดือน ก.ค.2566,เดือน ส.ค.2566,เดือน ก.ย.2566
สำนักงานคุมประพฤติจังหวัดสุราษฎร์ธานี,86.0,82.0,210.0,382.0,409.0,314.0,244.0,321.0,360.0,269.0,356.0,318.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสุราษฎร์ธานี สาขาเกาะสมุย,2.0,8.0,55.0,62.0,66.0,92.0,85.0,105.0,148.0,72.0,116.0,105.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสุรินทร์,74.0,86.0,171.0,478.0,139.0,163.0,493.0,228.0,242.0,213.0,275.0,224.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดหนองคาย,53.0,69.0,99.0,614.0,279.0,342.0,321.0,544.0,400.0,259.0,330.0,283.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดหนองบัวลำภู,49.0,58.0,98.0,214.0,105.0,117.0,229.0,136.0,149.0,167.0,147.0,120.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดอ่างทอง,35.0,44.0,105.0,137.0,103.0,94.0,115.0,99.0,76.0,55.0,58.0,50.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดอำนาจเจริญ,63.0,80.0,156.0,318.0,142.0,150.0,257.0,156.0,176.0,148.0,130.0,136.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดอุดรธานี,245.0,225.0,430.0,414.0,467.0,649.0,548.0,621.0,723.0,695.0,708.0,720.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดอุตรดิตถ์,57.0,73.0,168.0,156.0,110.0,113.0,89.0,102.0,107.0,99.0,145.0,127.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดอุทัยธานี,37.0,34.0,112.0,130.0,42.0,58.0,68.0,51.0,48.0,46.0,74.0,62.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดอุบลราชธานี,421.0,685.0,698.0,773.0,556.0,1048.0,802.0,856.0,833.0,617.0,487.0,504.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดอุบลราชธานี สาขาเดชอุดม,35.0,24.0,59.0,104.0,66.0,47.0,127.0,64.0,76.0,44.0,78.0,76.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 1,,,,,,,,,,,,,2566,81.0,83.0,45.0,68.0,42.0,58.0,59.0,55.0,75.0,60.0,67.0,97.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 2,,,,,,,,,,,,,2566,276.0,211.0,299.0,291.0,123.0,127.0,508.0,223.0,229.0,283.0,315.0,235.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 3,,,,,,,,,,,,,2566,330.0,153.0,147.0,155.0,31.0,28.0,186.0,111.0,136.0,83.0,136.0,104.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 4,,,,,,,,,,,,,2566,293.0,519.0,318.0,370.0,162.0,129.0,313.0,307.0,224.0,153.0,252.0,218.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 5,,,,,,,,,,,,,2566,19.0,11.0,3.0,25.0,7.0,3.0,25.0,4.0,3.0,2.0,7.0,1.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 6,,,,,,,,,,,,,2566,57.0,41.0,20.0,19.0,28.0,38.0,47.0,24.0,21.0,17.0,10.0,20.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 7,,,,,,,,,,,,,2566,93.0,79.0,105.0,66.0,85.0,153.0,42.0,90.0,124.0,85.0,119.0,85.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 8,,,,,,,,,,,,,2566,36.0,43.0,53.0,44.0,38.0,47.0,46.0,70.0,46.0,41.0,57.0,54.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 9,,,,,,,,,,,,,2566,54.0,31.0,41.0,33.0,26.0,61.0,83.0,55.0,54.0,23.0,23.0,24.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 10,,,,,,,,,,,,,2566,62.0,45.0,55.0,40.0,56.0,60.0,42.0,65.0,48.0,39.0,75.0,63.0
สำนักงานคุมประพฤติกรุงเทพมหานคร 11,,,,,,,,,,,,,2566,115.0,83.0,115.0,86.0,68.0,44.0,114.0,73.0,57.0,101.0,70.0,20.0
สำนักงานคุมประพฤติจังหวัดกระบี่,,,,,,,,,,,,,2566,102.0,138.0,140.0,105.0,127.0,147.0,44.0,48.0,57.0,52.0,36.0,43.0
สำนักงานคุมประพฤติจังหวัดกาญจนบุรี,,,,,,,,,,,,,2566,113.0,56.0,51.0,61.0,53.0,53.0,36.0,41.0,35.0,50.0,32.0,57.0
สำนักงานคุมประพฤติจังหวัดกาฬสินธุ์,,,,,,,,,,,,,2566,582.0,461.0,433.0,667.0,366.0,657.0,569.0,477.0,322.0,301.0,332.0,311.0
สำนักงานคุมประพฤติจังหวัดกำแพงเพชร,,,,,,,,,,,,,2566,212.0,191.0,241.0,288.0,95.0,186.0,360.0,174.0,131.0,127.0,165.0,131.0
สำนักงานคุมประพฤติจังหวัดขอนแก่น,,,,,,,,,,,,,2566,624.0,688.0,560.0,606.0,390.0,468.0,453.0,555.0,268.0,253.0,275.0,260.0
สำนักงานคุมประพฤติจังหวัดขอนแก่น สาขาชุมแพ,,,,,,,,,,,,,2566,176.0,179.0,143.0,185.0,85.0,98.0,219.0,130.0,83.0,101.0,133.0,101.0
สำนักงานคุมประพฤติจังหวัดขอนแก่น สาขาพล,,,,,,,,,,,,,2566,191.0,276.0,172.0,235.0,135.0,139.0,250.0,170.0,188.0,93.0,112.0,115.0
สำนักงานคุมประพฤติจังหวัดจันทบุรี,,,,,,,,,,,,,2566,188.0,170.0,198.0,384.0,132.0,194.0,267.0,169.0,114.0,142.0,172.0,173.0
สำนักงานคุมประพฤติจังหวัดฉะเชิงเทรา,,,,,,,,,,,,,2566,235.0,184.0,172.0,319.0,140.0,194.0,379.0,160.0,150.0,157.0,237.0,226.0
สำนักงานคุมประพฤติจังหวัดชลบุรี,,,,,,,,,,,,,2566,503.0,640.0,383.0,448.0,280.0,410.0,515.0,485.0,475.0,370.0,452.0,461.0
สำนักงานคุมประพฤติจังหวัดชัยนาท,,,,,,,,,,,,,2566,111.0,250.0,164.0,149.0,105.0,111.0,179.0,94.0,147.0,140.0,124.0,97.0
สำนักงานคุมประพฤติจังหวัดชัยภูมิ,,,,,,,,,,,,,2566,117.0,143.0,103.0,126.0,138.0,159.0,165.0,152.0,89.0,127.0,131.0,81.0
สำนักงานคุมประพฤติจังหวัดชัยภูมิ สาขาภูเขียว,,,,,,,,,,,,,2566,91.0,85.0,96.0,284.0,100.0,136.0,277.0,105.0,70.0,101.0,81.0,123.0
สำนักงานคุมประพฤติจังหวัดชุมพร,,,,,,,,,,,,,2566,125.0,151.0,90.0,169.0,86.0,135.0,131.0,148.0,67.0,56.0,67.0,64.0
สำนักงานคุมประพฤติจังหวัดชุมพร สาขาหลังสวน,,,,,,,,,,,,,2566,143.0,62.0,78.0,83.0,88.0,88.0,83.0,59.0,43.0,71.0,56.0,59.0
